Msg Size (b),C (baseline),RS (normalized),Py (normalized),"C (raw, us)","RS (raw, us)","Py (raw, us)"
1,1.0000000000,0.3586956522,7.0978260870,0.9200000000,0.3300000000,6.5300000000
2,1.0000000000,0.3188405797,8.3623188406,0.6900000000,0.2200000000,5.7700000000
4,1.0000000000,0.2298850575,6.5517241379,0.8700000000,0.2000000000,5.7000000000
8,1.0000000000,0.2686567164,8.3880597015,0.6700000000,0.1800000000,5.6200000000
16,1.0000000000,0.2394366197,7.9718309859,0.7100000000,0.1700000000,5.6600000000
32,1.0000000000,1.3150684932,8.8082191781,0.7300000000,0.9600000000,6.4300000000
64,1.0000000000,0.2820512821,7.1025641026,0.7800000000,0.2200000000,5.5400000000
128,1.0000000000,0.2643678161,6.2758620690,0.8700000000,0.2300000000,5.4600000000
256,1.0000000000,0.2626262626,5.5757575758,0.9900000000,0.2600000000,5.5200000000
512,1.0000000000,0.2540983607,4.5983606557,1.2200000000,0.3100000000,5.6100000000
1024,1.0000000000,0.2325581395,3.2790697674,1.7200000000,0.4000000000,5.6400000000
2048,1.0000000000,0.1783216783,2.0174825175,2.8600000000,0.5100000000,5.7700000000
4096,1.0000000000,0.1953125000,2.2265625000,5.1200000000,1.0000000000,11.4000000000
8192,1.0000000000,0.0065098794,0.0540503370,218.1300000000,1.4200000000,11.7900000000
16384,1.0000000000,0.0103161398,0.0536189684,240.4000000000,2.4800000000,12.8900000000
32768,1.0000000000,0.0186599480,0.0594835052,254.0200000000,4.7400000000,15.1100000000
65536,1.0000000000,0.0280741157,0.0607336702,320.5800000000,9.0000000000,19.4700000000
131072,1.0000000000,0.0359398465,0.0585076838,486.0900000000,17.4700000000,28.4400000000
262144,1.0000000000,0.1831813173,0.0593800558,852.9800000000,156.2500000000,50.6500000000
524288,1.0000000000,0.1399041342,0.1219492710,1502.1000000000,210.1500000000,183.1800000000
1048576,1.0000000000,0.0732238524,0.0768923821,3884.3900000000,284.4300000000,298.6800000000
